Regions,Middle East and North Africa,Northern Africa,Africa,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Sub-Saharan Africa,Total
Dec-11," 3,813,221 "," 1,684,866 "," 3,567,503,113 "," 3,506,031,068 "," 659,728 "," 1,684,866 "," 1,413,597 "," 57,713,854 "," 3,565,818,246 "," 10,706,322,559 "
Mar-12," 4,352,941 "," 1,811,049 "," 4,057,678,864 "," 3,977,975,606 "," 1,253,737 "," 1,811,049 "," 1,778,391 "," 74,860,082 "," 4,055,867,816 "," 12,177,389,535 "
Jun-12," 12,521,722 "," 3,507,659 "," 4,315,229,331 "," 4,207,365,691 "," 3,367,944 "," 3,507,659 "," 2,337,561 "," 98,650,477 "," 4,311,721,673 "," 12,958,209,716 "
Sep-12," 55,021,236 "," 4,452,208 "," 4,733,393,681 "," 4,576,633,395 "," 8,986,780 "," 4,452,208 "," 3,578,766 "," 139,742,531 "," 4,728,941,473 "," 14,255,202,278 "
Dec-12," 103,412,150 "," 5,260,183 "," 5,604,141,925 "," 5,312,160,740 "," 18,088,111 "," 5,260,183 "," 7,670,524 "," 260,962,367 "," 5,598,881,742 "," 16,915,837,924 "
Mar-13," 133,415,629 "," 6,366,277 "," 5,474,616,623 "," 5,105,198,794 "," 27,963,189 "," 6,366,277 "," 10,344,307 "," 324,744,057 "," 5,468,250,347 "," 16,557,265,499 "
Jun-13," 189,889,600 "," 14,131,373 "," 5,832,181,958 "," 5,335,457,609 "," 48,433,289 "," 14,131,373 "," 20,202,351 "," 413,957,336 "," 5,818,050,585 "," 17,686,435,475 "
Sep-13," 58,753,614 "," 19,947,047 "," 6,953,004,059 "," 6,194,054,567 "," 74,824,492 "," 19,947,047 "," 24,137,501 "," 640,040,451 "," 6,933,057,012 "," 20,917,765,792 "
Dec-13," 90,884,723 "," 26,329,125 "," 8,060,760,349 "," 6,985,792,453 "," 99,169,983 "," 26,329,125 "," 25,659,590 "," 923,809,199 "," 8,034,431,224 "," 24,273,165,769 "
Mar-14," 254,718,607 "," 35,931,112 "," 8,476,763,011 "," 7,191,354,042 "," 144,964,174 "," 35,931,112 "," 26,779,977 "," 1,077,733,705 "," 8,440,831,899 "," 25,685,007,639 "
Jun-14," 277,139,533 "," 41,378,041 "," 8,928,065,317 "," 7,367,127,893 "," 146,353,460 "," 41,378,041 "," 28,864,764 "," 1,344,341,158 "," 8,886,687,276 "," 27,061,335,484 "
