Regions,Middle East and North Africa,Northern Africa,Africa,Eastern Africa,Middle Africa,Northern Africa,Southern Africa,Western Africa,Sub-Saharan Africa
Dec-11," 2,970,482 "," 49,656 "," 47,374,586 "," 39,836,904 "," 256,116 "," 49,656 "," 463,200 "," 6,768,709 "," 47,324,930 "
Mar-12," 3,896,615 "," 53,076 "," 53,700,383 "," 44,189,814 "," 379,399 "," 53,076 "," 541,375 "," 8,536,718 "," 53,647,306 "
Jun-12," 5,692,294 "," 89,938 "," 60,422,889 "," 49,229,726 "," 684,275 "," 89,938 "," 625,960 "," 9,792,990 "," 60,332,950 "
Sep-12," 33,509,854 "," 137,413 "," 64,850,411 "," 51,953,008 "," 1,726,189 "," 137,413 "," 861,099 "," 10,172,703 "," 64,712,998 "
Dec-12," 33,983,180 "," 200,723 "," 73,600,487 "," 56,991,820 "," 2,685,725 "," 200,723 "," 1,222,403 "," 12,499,816 "," 73,399,764 "
Mar-13," 34,104,655 "," 259,912 "," 82,647,715 "," 62,756,376 "," 3,690,158 "," 259,912 "," 1,699,929 "," 14,241,340 "," 82,387,803 "
Jun-13," 34,254,206 "," 357,601 "," 89,157,633 "," 65,383,572 "," 4,757,866 "," 357,601 "," 2,473,952 "," 16,184,642 "," 88,800,032 "
Sep-13," 35,362,862 "," 450,452 "," 101,943,478 "," 74,874,216 "," 6,026,489 "," 450,452 "," 3,528,821 "," 17,063,500 "," 101,493,027 "
Dec-13," 35,903,620 "," 751,120.2 "," 113,200,755 "," 80,904,751.5 "," 7,259,632.4 "," 751,120.2 "," 4,321,526.0 "," 19,963,724.8 "," 112,449,635 "
Mar-14," 36,391,533 "," 989,919.8 "," 125,232,484 "," 87,784,686.6 "," 8,711,243.3 "," 989,919.8 "," 4,960,773.0 "," 22,785,861.7 "," 124,242,564 "
Jun-14," 36,862,509 "," 1,266,116 "," 135,513,604 "," 92,751,001 "," 9,856,488 "," 1,266,116 "," 5,706,029 "," 25,933,969 "," 134,247,488 "
Sep-14," 25,202,085 "," 1,571,275 "," 156,508,255 "," 103,114,487 "," 13,388,466 "," 1,571,275 "," 6,918,861 "," 31,515,166 "," 154,936,980 "
Dec-14," 25,446,599 "," 1,954,140 "," 170,489,210 "," 108,803,351 "," 15,598,888 "," 1,954,140 "," 7,937,173 "," 36,195,658 "," 168,535,070 "
Mar-15," 25,763,602 "," 2,453,606 "," 177,159,374 "," 107,686,230 "," 16,853,030 "," 2,453,606 "," 8,964,470 "," 41,202,038 "," 174,705,768 "
Jun-15," 27,101,473 "," 3,354,490 "," 194,240,915 "," 113,271,111 "," 18,936,423 "," 3,354,490 "," 9,949,990 "," 48,728,900 "," 190,886,425 "
Sep-15," 39,818,096 "," 3,669,642 "," 219,791,981 "," 128,246,434 "," 20,677,198 "," 3,669,642 "," 10,710,719 "," 56,487,989 "," 216,122,339 "
Dec-15," 41,331,056 "," 5,031,929 "," 237,270,652 "," 137,007,381 "," 20,852,402 "," 5,031,929 "," 11,508,218 "," 62,870,723 "," 232,238,723 "
Mar-16," 41,641,577 "," 5,152,432 "," 246,469,334 "," 144,027,001 "," 20,200,745 "," 5,152,432 "," 9,246,501 "," 67,842,655 "," 241,316,902 "
Jun-16," 42,579,074 "," 5,861,863 "," 269,741,406 "," 158,366,784 "," 21,684,246 "," 5,861,863 "," 9,424,322 "," 74,404,191 "," 263,879,543 "
Sep-16," 43,446,028 "," 6,477,199 "," 285,398,839 "," 167,885,333 "," 23,685,699 "," 6,477,199 "," 8,116,481 "," 79,234,127 "," 278,921,640 "
Dec-16," 43,927,138 "," 7,269,599 "," 296,068,822 "," 172,716,167 "," 24,126,574 "," 7,269,599 "," 5,328,528 "," 86,627,955 "," 288,799,224 "
Mar-17," 44,743,837 "," 7,859,750 "," 313,215,047 "," 179,339,512 "," 27,705,192 "," 7,859,750 "," 5,762,941 "," 92,547,653 "," 305,355,298 "
Jun-17," 45,465,723 "," 8,346,934 "," 333,576,939 "," 189,643,334 "," 31,080,223 "," 8,346,934 "," 6,235,602 "," 98,270,846 "," 325,230,005 "
Sep-17," 45,726,443 "," 8,389,161 "," 344,694,308 "," 189,278,075 "," 34,749,872 "," 8,389,161 "," 6,560,514 "," 105,716,686 "," 336,305,148 "
Dec-17," 46,518,508 "," 8,944,387 "," 366,848,828 "," 197,957,903 "," 39,644,187 "," 8,944,387 "," 6,352,474 "," 113,949,878 "," 357,904,441 "
Mar-18," 46,953,702 "," 9,226,375 "," 383,408,067 "," 204,121,576 "," 41,760,082 "," 9,226,375 "," 6,718,491 "," 121,581,543 "," 374,181,692 "
Jun-18," 47,469,774 "," 9,482,096 "," 404,340,620 "," 214,297,892 "," 41,628,991 "," 9,482,096 "," 6,968,026 "," 131,963,615 "," 394,858,524 "
Sep-18," 47,376,974 "," 9,572,193 "," 413,856,611 "," 223,623,491 "," 35,732,243 "," 9,572,193 "," 7,520,347 "," 137,408,337 "," 404,284,418 "
Dec-18," 48,006,837 "," 9,914,963 "," 438,860,249 "," 234,907,762 "," 40,037,203 "," 9,914,963 "," 8,117,798 "," 145,882,522 "," 428,945,285 "
Mar-19," 48,298,163 "," 10,037,107 "," 448,834,796 "," 241,958,770 "," 41,084,206 "," 10,037,107 "," 8,372,539 "," 147,382,174 "," 438,797,689 "
Jun-19," 48,289,392 "," 9,712,370 "," 468,033,160 "," 250,846,320 "," 43,844,667 "," 9,712,370 "," 8,760,824 "," 154,868,978 "," 458,320,790 "
Sep-19," 49,475,382 "," 10,432,993 "," 481,411,974 "," 259,155,929 "," 43,073,685 "," 10,432,993 "," 9,261,593 "," 159,487,775 "," 470,978,981 "
Dec-19," 50,351,522 "," 11,060,870 "," 506,856,809 "," 270,505,774 "," 46,474,085 "," 11,060,870 "," 9,519,691 "," 169,296,389 "," 495,795,939 "
Mar-20," 51,333,971 "," 11,592,772 "," 527,579,433 "," 279,150,637 "," 48,468,950 "," 11,592,772 "," 9,767,364 "," 178,599,710 "," 515,986,661 "
Jun-20," 52,486,618 "," 12,239,795 "," 546,813,048 "," 287,113,121 "," 47,169,817 "," 12,239,795 "," 10,993,523 "," 189,296,792 "," 534,573,253 "
Sep-20," 52,823,004 "," 12,926,056 "," 523,891,192 "," 259,970,281 "," 47,480,480 "," 12,926,056 "," 11,670,243 "," 191,844,131 "," 510,965,135 "
Dec-20," 52,875,522 "," 13,424,022 "," 540,517,730 "," 260,605,882 "," 49,722,512 "," 13,424,022 "," 13,054,291 "," 203,711,024 "," 527,093,708 "
Mar-21," 54,479,408 "," 13,901,430 "," 560,719,127 "," 270,529,046 "," 51,649,599 "," 13,901,430 "," 13,604,003 "," 211,035,049 "," 546,817,698 "
Jun-21," 55,842,741 "," 14,460,383 "," 589,445,300 "," 288,521,748 "," 55,396,124 "," 14,460,383 "," 14,410,951 "," 216,656,094 "," 574,984,917 "
Sep-21," 57,421,517 "," 15,114,010 "," 609,398,900 "," 293,689,222 "," 56,546,238 "," 15,114,010 "," 15,326,938 "," 228,722,492 "," 594,284,890 "
Dec-21," 58,629,535 "," 15,374,799 "," 627,268,176 "," 300,053,984 "," 58,818,979 "," 15,374,799 "," 15,944,073 "," 237,076,341 "," 611,893,377 "
Mar-22," 59,736,146 "," 15,589,612 "," 649,485,692 "," 305,962,343 "," 58,344,601 "," 15,589,612 "," 16,730,046 "," 252,859,091 "," 633,896,080 "
Jun-22," 61,148,366 "," 16,081,734 "," 672,795,247 "," 313,306,497 "," 59,048,114 "," 16,081,734 "," 17,347,525 "," 267,011,377 "," 656,713,513 "
Sep-22," 62,814,251 "," 16,777,985 "," 710,086,587 "," 322,174,157 "," 62,396,832 "," 16,777,985 "," 18,044,841 "," 290,692,772 "," 693,308,602 "
Dec-22," 64,411,920 "," 17,409,416 "," 743,644,369 "," 333,946,467 "," 66,679,627 "," 17,409,416 "," 19,233,903 "," 306,374,957 "," 726,234,954 "
Mar-23," 66,009,222 "," 18,104,202 "," 777,029,066 "," 343,339,213 "," 70,261,447 "," 18,104,202 "," 20,077,803 "," 325,246,400 "," 758,924,863 "
Jun-23," 67,625,466 "," 18,869,671 "," 804,879,845 "," 357,248,556 "," 73,321,611 "," 18,869,671 "," 20,805,427 "," 334,634,581 "," 786,010,174 "
Sep-23," 69,433,733 "," 19,594,029 "," 864,771,923 "," 379,131,208 "," 75,057,149 "," 19,594,029 "," 21,802,608 "," 369,186,930 "," 845,177,895 "
Dec-23," 71,493,063 "," 20,572,096 "," 926,698,084 "," 399,784,700 "," 83,772,701 "," 20,572,096 "," 22,828,260 "," 399,740,328 "," 906,125,989 "
Mar-24," 73,828,399 "," 21,758,028 "," 967,006,607 "," 416,714,731 "," 85,659,448 "," 21,758,028 "," 23,584,828 "," 419,289,572 "," 945,248,580 "
Jun-24," 75,765,234 "," 22,873,630 "," 1,007,372,105 "," 429,970,884 "," 91,526,174 "," 22,873,630 "," 24,628,278 "," 438,373,139 "," 984,498,475 "
